Element,dipr
iati-activity/result/indicator/period/actual/@value,6
iati-activity/result/indicator/period/period-end,8
iati-activity/result/indicator/period/period-end/@iso-date,8
iati-activity/result/indicator/period/period-start,8
iati-activity/result/indicator/period/period-start/@iso-date,8
iati-activity/result/indicator/period/target,8
iati-activity/result/indicator/period/target/@value,8
iati-activity/result/indicator/title,8
iati-activity/result/indicator/title/narrative,8
iati-activity/result/title,8
iati-activity/result/title/narrative,8
iati-activity/result/title/narrative/@{http://www.w3.org/XML/1998/namespace}lang,3
iati-activity/sector,79
iati-activity/sector/@code,79
iati-activity/sector/@percentage,79
iati-activity/sector/@vocabulary,62
iati-activity/sector/@vocabulary-uri,1
iati-activity/title,79
iati-activity/title/narrative,79
iati-activity/title/narrative/@{http://www.w3.org/XML/1998/namespace}lang,4
iati-activity/transaction,2070
iati-activity/transaction/description,2070
iati-activity/transaction/description/narrative,2070
iati-activity/transaction/description/narrative/@{http://www.w3.org/XML/1998/namespace}lang,2
iati-activity/transaction/provider-org,196
iati-activity/transaction/provider-org/@provider-activity-id,17
iati-activity/transaction/provider-org/@ref,188
iati-activity/transaction/provider-org/@type,16
iati-activity/transaction/provider-org/narrative,196
iati-activity/transaction/provider-org/narrative/@{http://www.w3.org/XML/1998/namespace}lang,2
iati-activity/transaction/receiver-org,196
iati-activity/transaction/receiver-org/@receiver-activity-id,196
iati-activity/transaction/receiver-org/@ref,196
iati-activity/transaction/receiver-org/@type,17
iati-activity/transaction/receiver-org/narrative,196
iati-activity/transaction/receiver-org/narrative/@{http://www.w3.org/XML/1998/namespace}lang,2
iati-activity/transaction/transaction-date,2070
iati-activity/transaction/transaction-date/@iso-date,2070
iati-activity/transaction/transaction-type,2070
iati-activity/transaction/transaction-type/@code,2070
iati-activity/transaction/value,2070
iati-activity/transaction/value/@currency,196
iati-activity/transaction/value/@value-date,2070
