Element,dipr
iati-activity/result/indicator/period/actual/@value,5
iati-activity/result/indicator/period/period-end,7
iati-activity/result/indicator/period/period-end/@iso-date,7
iati-activity/result/indicator/period/period-start,7
iati-activity/result/indicator/period/period-start/@iso-date,7
iati-activity/result/indicator/period/target,7
iati-activity/result/indicator/period/target/@value,7
iati-activity/result/indicator/title,7
iati-activity/result/indicator/title/narrative,7
iati-activity/result/title,7
iati-activity/result/title/narrative,7
iati-activity/result/title/narrative/@{http://www.w3.org/XML/1998/namespace}lang,3
iati-activity/sector,79
iati-activity/sector/@code,79
iati-activity/sector/@percentage,79
iati-activity/sector/@vocabulary,62
iati-activity/sector/@vocabulary-uri,1
iati-activity/title,79
iati-activity/title/narrative,79
iati-activity/title/narrative/@{http://www.w3.org/XML/1998/namespace}lang,4
iati-activity/transaction,52
iati-activity/transaction/description,52
iati-activity/transaction/description/narrative,52
iati-activity/transaction/description/narrative/@{http://www.w3.org/XML/1998/namespace}lang,1
iati-activity/transaction/provider-org,32
iati-activity/transaction/provider-org/@provider-activity-id,5
iati-activity/transaction/provider-org/@ref,32
iati-activity/transaction/provider-org/@type,5
iati-activity/transaction/provider-org/narrative,32
iati-activity/transaction/provider-org/narrative/@{http://www.w3.org/XML/1998/namespace}lang,1
iati-activity/transaction/receiver-org,32
iati-activity/transaction/receiver-org/@receiver-activity-id,32
iati-activity/transaction/receiver-org/@ref,32
iati-activity/transaction/receiver-org/@type,5
iati-activity/transaction/receiver-org/narrative,32
iati-activity/transaction/receiver-org/narrative/@{http://www.w3.org/XML/1998/namespace}lang,1
iati-activity/transaction/transaction-date,52
iati-activity/transaction/transaction-date/@iso-date,52
iati-activity/transaction/transaction-type,52
iati-activity/transaction/transaction-type/@code,52
iati-activity/transaction/value,52
iati-activity/transaction/value/@currency,32
iati-activity/transaction/value/@value-date,52
