Publisher Name,Publisher Registry Id,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,Frequency
International Finance Corporation,ifcwbg,1,1,1,1,0,0,0,0,0,0,1,0,Quarterly
International Fund for Agricultural Development (IFAD),ifad,5,5,4,9,0,0,0,0,0,0,1,0,Quarterly
International Medical Corps UK,imc_uk,0,2,0,1,0,0,0,0,0,0,1,0,Quarterly
International Planned Parenthood Federation,ippf,1,0,0,2,0,0,0,0,0,0,1,0,Quarterly
International Rescue Committee UK,irc_uk,1,1,1,0,0,0,0,0,0,0,1,0,Quarterly
Internews Europe,ieu,1,0,0,1,0,0,0,0,0,0,1,0,Quarterly
Islamic Relief Worldwide,irw,1,0,1,0,0,0,0,0,0,0,1,0,Quarterly
KPMG East Africa,kpmgea,0,1,1,1,0,0,0,0,0,0,1,0,Quarterly
LTS International Limited,lts,0,0,1,1,0,0,0,0,0,0,1,0,Quarterly
Leonard Cheshire Disability,lcd_admin,0,1,1,1,0,0,0,0,0,0,1,0,Quarterly
MVO Nederland,mvo_nederland,0,1,0,1,0,0,0,0,0,0,1,0,Quarterly
Mainline,mainline,0,1,0,1,0,0,0,0,0,0,1,0,Quarterly
MannionDaniels,manniondaniels,1,0,0,1,0,0,0,0,0,0,1,0,Quarterly
Mulanje Mission Hospital,mmh,0,1,0,1,0,0,0,0,0,0,1,0,Quarterly
Multilateral Investment Fund,fomin,0,2,0,1,0,0,0,0,0,0,1,0,Quarterly
NKHOMA MISSION HOSPITAL,nmhiati,0,1,0,1,0,0,0,0,0,0,1,0,Quarterly
Netherlands - Ministry of Foreign Affairs,minbuza_nl,1,1,1,0,0,0,0,0,0,0,1,0,Quarterly
Netherlands Enterprise Agency,rvo,0,0,2,1,0,0,0,0,0,0,1,0,Quarterly
Netherlands Red Cross,nlrc,0,1,0,1,0,0,0,0,0,0,1,0,Quarterly
OCHA Country Based Pooled Funds,unocha-cbpf,3,7,4,10,0,0,0,0,0,0,1,0,Quarterly
Opportunity International UK,opportunity-international-uk,1,0,0,1,0,0,0,0,0,0,1,0,Quarterly
